mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.29843926429748535,0.013511575699310397,0.036749680836995445,0.01280664650901261,0.01,3,50,0.1,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.1}",0.6415758002110447,0.673927842069435,0.6679245283018868,0.6611427235274555,0.014051294367439003,14
0.1778587500254313,0.0016455357206999674,0.030895709991455078,0.01086675449562353,0.01,3,50,0.5,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.6443587946741416,0.673927842069435,0.6686076382942284,0.6622980916792683,0.01286960048152345,12
0.46111583709716797,0.073493295049096,0.06993675231933594,0.022429585938049373,0.01,3,100,0.1,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.1}",0.6459171183773387,0.6724578436382218,0.6646977067407922,0.6610242229187843,0.011142213630643173,16
0.6238275369008383,0.01611199353376604,0.08810830116271973,0.026526766025355784,0.01,3,100,0.5,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.5}",0.646379853095488,0.6733480550365212,0.6635335073977372,0.6610871385099154,0.011144790099251569,15
0.7209806442260742,0.03719557140253378,0.07225863138834636,0.021584933442035784,0.01,5,50,0.1,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.1}",0.6444796619123085,0.6764806573091408,0.6642411642411642,0.6617338278208712,0.013184106050858232,13
0.7436458269755045,0.059726668655210084,0.10721158981323242,0.021607029997144714,0.01,5,50,0.5,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.6452180028129395,0.6770494608933767,0.6666666666666666,0.6629780434576609,0.013254304628187002,11
0.9611248970031738,0.13930788577807152,0.06754589080810547,0.026896899752869286,0.01,5,100,0.1,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.1}",0.649746192893401,0.6803529012555141,0.6672437673130194,0.6657809538206448,0.012537876393179343,10
0.9078267415364584,0.06599669787834599,0.08357795079549153,0.013778201559298013,0.01,5,100,0.5,"{'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.5}",0.6517716879036481,0.6798982188295165,0.6703429260727211,0.6673376109352952,0.011677596065040896,9
0.20386521021525064,0.0333117508640845,0.025827964146931965,0.007575675609412347,0.1,3,50,0.1,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.1}",0.666211371009049,0.6926682289923,0.6802604523646333,0.6797133507886608,0.010807892908650935,7
0.20085779825846353,0.042200521558639695,0.02967071533203125,0.010140975990561055,0.1,3,50,0.5,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.6651808674781416,0.6907268170426065,0.6782101834390537,0.678039289319934,0.010429790294712164,8
0.43134617805480957,0.10014420004637485,0.06655240058898926,0.013594169000171987,0.1,3,100,0.1,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.1}",0.6704005431093008,0.6943245934284766,0.6871394638615541,0.6839548667997772,0.010023182786354964,3
0.41609859466552734,0.03050555359108631,0.05032968521118164,0.0251402308815198,0.1,3,100,0.5,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.5}",0.668815744825246,0.6939318370739818,0.682312925170068,0.6816868356897653,0.01026315459917209,6
0.37067540486653644,0.07227445167850546,0.03568387031555176,0.020398518213460014,0.1,5,50,0.1,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.1}",0.6716367333107421,0.6905235255135852,0.6856564975560425,0.6826055854601233,0.008006613033033511,4
0.34842467308044434,0.0526110470297335,0.04733777046203613,0.01723466219285939,0.1,5,50,0.5,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.6680279053939084,0.6931348221670802,0.6845750971447879,0.6819126082352588,0.010421322784201234,5
0.6650075912475586,0.11604267353283901,0.08702150980631511,0.040854038733096815,0.1,5,100,0.1,"{'xgbclassifier__learning_rate': 0.1, 'xgbclassifier__max_depth': 5, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__reg_lambda': 0.1}",0.6787027749916416,0.6876234364713627,0.6904127829560586,0.6855796648063542,0.0049942516019717414,2
